Citation Name,Full Name,Aliases,SaveName,ORCID,PictureName,UndergradSchool,UndergradYear,MastersSchool,MastersYear,GradSchool,GradYear,PeoplePage,CVName,Present Affiliation,Twitter,GoogleScholar
Schnable JC,James C. Schnable,Schnable J,jschnable,0000-0001-6739-5527,jamesschnable.jpg ,Cornell University,2004,,,UC-Berkeley,2012,,,,,
Miao C,Chenyong Miao,,cmiao,0000-0002-0904-3707,Miao_Small.jpg,,,Fujian Agriculture and Forestry University,2016,University of Nebraska-Lincoln,2020,Y,,,Valiancy_miao,
Sigmon B,Brandi Sigmon,,bsigmon,0000-0003-3914-6894,Bsigmon.jpg,,,,,Iowa State University,,,,,,
Mural RV,Ravi Mural,Mural R,rmural,0000-0002-5489-9918,Ravi.jpg,,,,,University of Nebraska-Lincoln,2019,Y,,,ravi_mural,https://scholar.google.com/citations?user=5NlUnZ0AAAAJ
Sun G,Guangchao Sun,,gsun,0000-0003-3942-6175,Guangchao.JPG,Northwest Agricultural and Forestry University,2013,,,University of Nebraska-Lincoln,2017,Y,,,xiaoguanghuan,
Smith C,Christine Smith,,csmith,,Christine.jpg,,,,,,,,,,,
Jin H,Hongyu Jin,,hjin,,Hongyu.jpg,,,,,,,Y,,,HongyuJin5,
Tross M,Michael Tross,,mtross,0000-0002-4410-9679,MichaelT.jpg,,,,,,,Y,,,tross_michael,
Korth N,Nate Korth,,nkorth,,Nate_small.jpg,,,,,,,Y,,,NateKorth,
Zwiener M,Mackenzie Zwiener,,mzwiener,0000-0001-8636-6780,Mackenzie.jpg,,,University of Nebraska-Lincoln,,,,Y,,,MackenzieZwien1,
Hoban T,Thomas Hoban,,thoban,0000-0001-7607-1903,thoban.jpg,,,,,,,,,,,
Guo A,Alica Guo,,aguo,,AliceG.jpg,,,,,,,,,,,
Zhang Y,Yang Zhang,,yzhang,0000-0003-1712-7211,Yang_Zhang.jpg,,,,,,,Y,,,zymaize,https://scholar.google.com/citations?hl=en&user=S2XLm2oAAAAJ
Yang J,Jinliang Yang,,jyang,0000-0002-0999-3518,jinliang.JPG,,,China Agricultural University,2008,Iowa State,2014,Y,,,JinliangYang,
Raju SKK,Sunil KK Raju,,sraju,0000-0001-8960-094X,Sunil.jpg,,,,,University of Nebraska-Lincoln,2017,Y,,,Sunil_KumarKR,
Lai X,Xianjun Lai,,xlai,0000-0001-9795-3358,xlai.jpg,,,,,,,Y,,,xianjunlai,
Yan L,Lang Yan,,lyan,,Lang_Small.jpg,,,,,,,Y,,,langyan87,
Carvalho D,Daniel Santana de Carvalho,Carvalho DS,dcarvalho,0000-0001-6590-4287,Daniel_Carvalho.jpg,Universidade Católica do Salvador,2012,Universidade Federal da Bahia,2014,University of Nebraska-Lincoln,2019,Y,,,SciOfCarvalho,
Hurst P,J. Preston Hurst,Hurst JP,phurst,,Preston.jpg,,,,,,,Y,,,,
Meng X,Xiaoxi Meng,,xmeng,0000-0001-7217-2037,Xiaoxi.jpg,Nanjing Agricultural University,2011,,,Mississippi State University,2018,Y,,,xiaoxi_meng,
Liang Z,Zhikai Liang,,zliang,0000-0002-9963-8631,ZhikaiLiang.jpg,Nanjing Agricultural University,2011,,,University of Nebraska-Lincoln,2019,Y,,,shanwai1234,
Dai X,Xiuru Dai,,xdai,0000-0002-2516-1068,Xiuru.jpg,,,,,,,Y,,,Xiuru_Dai,
Ngu D,Daniel Ngu,Ngu Dw,dngu,,Danielngu.jpg,,,,,,,,,,wee_cur,
Grzybowski M,Marcin Grzybowski,,mgrzybowski,0000-0002-6303-5433,Marcin.jpg,,,,,,,Y,,,,https://scholar.google.com/citations?user=YhjtKtIAAAAJ
